ea,kind,original,demangled,alias
860560,plt_thunk,._ZN11TGaniObject9setlocalyEdb,"TGaniObject::setlocaly(double,bool)",plt_TGaniObject_setlocaly_double_bool
860576,plt_thunk,._ZN13TServerPlayer7setHeadERK7TString,TServerPlayer::setHead(TString const&),plt_TServerPlayer_setHead_TString_const
860592,plt_thunk,._ZN12TLevelLoader9loadBoardEP7TStreamPsib,"TLevelLoader::loadBoard(TStream *,short *,int,bool)",plt_TLevelLoader_loadBoard_TStream_short_int_bool
860624,plt_thunk,._ZN7TPlayer14pushDrawMatrixEfffff,"TPlayer::pushDrawMatrix(float,float,float,float,float)",plt_TPlayer_pushDrawMatrix_float_float_float_float_float
860640,plt_thunk,._ZN12TScriptSpace18executeActionCatchEP9TGraalVarP13TScriptAction,"TScriptSpace::executeActionCatch(TGraalVar *,TScriptAction *)",plt_TScriptSpace_executeActionCatch_TGraalVar_TScriptAction
860656,plt_thunk,._ZN13GuiBitmapCtrl9setBitmapERK7TString,GuiBitmapCtrl::setBitmap(TString const&),plt_GuiBitmapCtrl_setBitmap_TString_const
860672,plt_thunk,._ZN7TWindow18createDrawingPanelEv,TWindow::createDrawingPanel(void),plt_TWindow_createDrawingPanel_void
860688,plt_thunk,._ZN12TFontOptions23getFontForCharacterPageEi,TFontOptions::getFontForCharacterPage(int),plt_TFontOptions_getFontForCharacterPage_int
860704,plt_thunk,._ZN9THTMLPage14freeAlignmentsEv,THTMLPage::freeAlignments(void),plt_THTMLPage_freeAlignments_void
860736,plt_thunk,._ZN18TResourceFunctions20checkAddEmoticonFileERK7TString,TResourceFunctions::checkAddEmoticonFile(TString const&),plt_TResourceFunctions_checkAddEmoticonFile_TString_const
860752,plt_thunk,._ZN12TScriptSpace15findEventObjectERK7TString,TScriptSpace::findEventObject(TString const&),plt_TScriptSpace_findEventObject_TString_const
860768,plt_thunk,._ZN9TGraalVar11invokeEventERK7TString,TGraalVar::invokeEvent(TString const&),plt_TGraalVar_invokeEvent_TString_const
860784,plt_thunk,._ZN15TScriptFunction21clearCallStackEntriesEv,TScriptFunction::clearCallStackEntries(void),plt_TScriptFunction_clearCallStackEntries_void
860800,plt_thunk,._Z12strtobooleanRK7TString,strtoboolean(TString const&),plt_strtoboolean_TString_const
860816,plt_thunk,._ZN7TPlayer17doServerModifies3EP12TServerLevelRK7TStringb,"TPlayer::doServerModifies3(TServerLevel *,TString const&,bool)",plt_TPlayer_doServerModifies3_TServerLevel_TString_const_bool
