index,name,demangled_name,version,address,size,type,binding,visibility,section,defined
0,,,,0x0,0,NOTYPE,LOCAL,DEFAULT,UND,False
1,.text,.text,,0xdf800,0,SECTION,LOCAL,DEFAULT,9,True
2,.data.rel.ro,.data.rel.ro,,0x370070,0,SECTION,LOCAL,DEFAULT,15,True
3,_ZN10GbMhIaz9yS10wEiPgaIiMLEb,GbMhIaz9yS::wEiPgaIiML(bool),,0x1c0938,36,FUNC,GLOBAL,DEFAULT,9,True
4,_ZN10K7FLgag3II10wcadNafcH0E,K7FLgag3II::wcadNafcH0,,0x38e160,1,OBJECT,GLOBAL,DEFAULT,18,True
5,_ZN10nenvgaH9_u10B3xXfaLgI1ERK10C8THgaTQxFii,"nenvgaH9_u::B3xXfaLgI1(C8THgaTQxF const&, int, int)",,0xf1dec,408,FUNC,GLOBAL,DEFAULT,9,True
6,_ZN10ZwL1xarB5eC1Ev,ZwL1xarB5e::ZwL1xarB5e(),,0x1e7968,132,FUNC,GLOBAL,DEFAULT,9,True
7,_ZN10uzvDgataRBC1ERK10C8THgaTQxF,uzvDgataRB::uzvDgataRB(C8THgaTQxF const&),,0x1b1650,52,FUNC,GLOBAL,DEFAULT,9,True
8,_ZN10s40xgamwex10b6MJfaSV7QE,s40xgamwex::b6MJfaSV7Q,,0x3a0848,1,OBJECT,GLOBAL,DEFAULT,19,True
9,get_crc_table,get_crc_table,,0x28ce54,12,FUNC,GLOBAL,DEFAULT,9,True
10,_ZN10oMhmIajzmW10DgqIfaJIZPERK10bagMga8cdJ,oMhmIajzmW::DgqIfaJIZP(bagMga8cdJ const&),,0x100994,4,FUNC,WEAK,DEFAULT,9,True
11,_ZN10W6NzgawMJy10rysVgaGDXQEdb,"W6NzgawMJy::rysVgaGDXQ(double, bool)",,0x17eec0,320,FUNC,GLOBAL,DEFAULT,9,True
12,_ZN10KKhLga4xoID1Ev,KKhLga4xoI::~KKhLga4xoI(),,0xeb12c,116,FUNC,GLOBAL,DEFAULT,9,True
13,_ZN10W6NzgawMJy10b7tmwaIXwQEb,W6NzgawMJy::b7tmwaIXwQ(bool),,0x1762bc,32,FUNC,GLOBAL,DEFAULT,9,True
14,_ZN10J0CfgbmrLhD2Ev,J0CfgbmrLh::~J0CfgbmrLh(),,0x1609c0,68,FUNC,GLOBAL,DEFAULT,9,True
15,_ZN6CyaInt5IsTLSEPKNS_6CYASSLE,CyaInt::IsTLS(CyaInt::CYASSL const*),,0x2d5f40,40,FUNC,GLOBAL,DEFAULT,9,True
16,FT_Set_Renderer,FT_Set_Renderer,,0x25fa34,212,FUNC,GLOBAL,DEFAULT,9,True
17,_ZN10eODlJaQ5OL10MP0FfajjYNEP10W6NzgawMJy,eODlJaQ5OL::MP0FfajjYN(W6NzgawMJy*),,0x23e57c,488,FUNC,GLOBAL,DEFAULT,9,True
18,_Z10cdCKkbMLP3P7__sFILE,cdCKkbMLP3(__sFILE*),,0x1971e0,16,FUNC,GLOBAL,DEFAULT,9,True
19,_ZN20EYKlVaL7URPropertiesD0Ev,EYKlVaL7URProperties::~EYKlVaL7URProperties(),,0x1e0544,56,FUNC,WEAK,DEFAULT,9,True
20,_ZN20v9r4yaCim7PropertiesD0Ev,v9r4yaCim7Properties::~v9r4yaCim7Properties(),,0x1c4980,56,FUNC,WEAK,DEFAULT,9,True
21,_ZN20k1h4JaIMdnPropertiesD1Ev,k1h4JaIMdnProperties::~k1h4JaIMdnProperties(),,0x248a84,28,FUNC,WEAK,DEFAULT,9,True
22,_ZN20EqV_Ka3Vx9PropertiesC2Ev,EqV_Ka3Vx9Properties::EqV_Ka3Vx9Properties(),,0x1b2278,176,FUNC,GLOBAL,DEFAULT,9,True
