2.2_name,2.2_address,size,byte_sha256,family,1.8_ida_name,1.8_raw_symbol,1.8_demangled_symbol,1.8_address,address_delta_2.2_minus_1.8,1.8_name_origin,1.8_source_kind
BZ2_bzCompressEnd,0x2814ec,156,2b056290f9888b07a1932f959803b4c32ad97c8a58216eb4c40665a6cecc4736,bzip2,BZ2_bzCompressEnd,,,0x27407c,0xd470,ida_named_non_elf,
BZ2_bzDecompressEnd,0x282300,156,6b1304424609fd3c597454acf003fc8922f2be6102311693ae7f1bf5ebdbb3a8,bzip2,BZ2_bzDecompressEnd,,,0x274e90,0xd470,ida_named_non_elf,
DGifExtensionToGCB,0x2bb3a0,96,e4a3c73e5656dac3927d1952e0dee2d618e9ccc4e93a3032a087fc735ef19f76,GIF,DGifExtensionToGCB,,,0x2adf80,0xd420,ida_named_non_elf,
FT_Activate_Size,0x25b108,40,3a396ccbaa7faebdd2f412a777e8d13a72027e90257c9195ed137f11984133e2,FreeType/TrueType,FT_Activate_Size,,,0x24dc98,0xd470,ida_named_non_elf,
FT_Angle_Diff,0x25d984,92,acbfc85043978c294856b92d464b703f6325a5a6eb5e5a358f443f29ef3c0e5c,FreeType/TrueType,FT_Angle_Diff,,,0x250514,0xd470,ida_named_non_elf,
FT_Bitmap_New,0x27ea08,36,4e66f89a9cdf36656ad7cdddd082b1fee5ba8ec30aff2d296745c9ee0b49c7c6,FreeType/TrueType,FT_Bitmap_New,,,0x271598,0xd470,ida_named_non_elf,
FT_CeilFix,0x2591f4,40,7e61073b976d5909c6aa70091157174ddaa4455acb34e546265c8d47fd65380d,FreeType/TrueType,FT_CeilFix,,,0x24bd84,0xd470,ida_named_non_elf,
FT_DivFix,0x2594ac,168,3e73ddee4d8028277232cafc9b5670c750ef49a73fad994b6b8abfd7993f3085,FreeType/TrueType,FT_DivFix,,,0x24c03c,0xd470,ida_named_non_elf,
FT_Done_Memory,0x261834,32,4ccfc6635c1082e97f5d6decee43fdc2ef6a49fd8f8d458650e635c43548fe8a,FreeType/TrueType,FT_Done_Memory,,,0x2543c4,0xd470,ida_named_non_elf,
FT_FloorFix,0x25921c,28,4440753952e8d5ed387fc5db2aa76afc0e33ed7e26981a0bcb1a31a9a427582a,FreeType/TrueType,FT_FloorFix,,,0x24bdac,0xd470,ida_named_non_elf,
FT_Get_Char_Index,0x25a704,60,d88fc67cb1e05a29516093b7ca0b5c045b52f7b2c9b426acd9a7568cedfe7f59,FreeType/TrueType,FT_Get_Char_Index,,,0x24d294,0xd470,ida_named_non_elf,
FT_Get_Charmap_Index,0x25a6a8,92,1402e2149890d7f42642b5d7480f67bb830a0af405880ffa2d07c92e20031903,FreeType/TrueType,FT_Get_Charmap_Index,,,0x24d238,0xd470,ida_named_non_elf,
FT_Get_Next_Char,0x25a740,104,323e5a2046ffbd66d79ed16f3e384fc3c2fa2a96bc19382bdfd9e7f89dcb6eb9,FreeType/TrueType,FT_Get_Next_Char,,,0x24d2d0,0xd470,ida_named_non_elf,
FT_Get_SubGlyph_Info,0x25b398,120,b2fce37dc28b15294c6c34d13f531b1eeba30f432dfc6aae2e3e2254a17fae4e,FreeType/TrueType,FT_Get_SubGlyph_Info,,,0x24df28,0xd470,ida_named_non_elf,
FT_GlyphLoader_Prepare,0x2598a4,128,099d620152fb0b613a7f330f0a3ce8a92eeff0eb39f7933f6525ab4a671f3e91,FreeType/TrueType,FT_GlyphLoader_Prepare,,,0x24c434,0xd470,ida_named_non_elf,
FT_GlyphLoader_Rewind,0x259864,64,1da63e4d0ce2a1505e1ac5c660b16d8792b626f626431b25965df5cc3360cce9,FreeType/TrueType,FT_GlyphLoader_Rewind,,,0x24c3f4,0xd470,ida_named_non_elf,
FT_Glyph_Get_CBox,0x28025c,228,597f10111ad3963773aca75589f57aa0a259fec55de65fa6d002c8a11417712e,FreeType/TrueType,FT_Glyph_Get_CBox,,,0x272dec,0xd470,ida_named_non_elf,
FT_Library_Version,0x25b2e8,60,d7483e881ef607efb6cf5ba21747f6eeafc692a4e152a8dfde8753414cd21557,FreeType/TrueType,FT_Library_Version,,,0x24de78,0xd470,ida_named_non_elf,
FT_List_Add,0x25f720,40,164b0f3744a8ed368ff822fdb1abea47310831b1ae667061163065a03c120b55,FreeType/TrueType,FT_List_Add,,,0x2522b0,0xd470,ida_named_non_elf,
FT_List_Find,0x25f6f4,44,114df72986a3756d63cd53b418b7c02a8914ccbdaf54bcf9fcf49f4100be694d,FreeType/TrueType,FT_List_Find,,,0x252284,0xd470,ida_named_non_elf,
FT_List_Insert,0x25f880,40,ea40718530fc14ddaad3dbc04783571b0d56deec5d505ae8f77f4206d94bbc9a,FreeType/TrueType,FT_List_Insert,,,0x252410,0xd470,ida_named_non_elf,
FT_List_Iterate,0x260230,88,b9d14aae0ade45c03deb51f97ef0c4b764983d407b7aba41827bac0a55cc60db,FreeType/TrueType,FT_List_Iterate,,,0x252dc0,0xd470,ida_named_non_elf,
FT_List_Remove,0x25f8a8,44,5d1f738f12928ec40514a0d395f907c845677c6b18e1faa7b89c6c4241d94ee5,FreeType/TrueType,FT_List_Remove,,,0x252438,0xd470,ida_named_non_elf,
FT_List_Up,0x25f9fc,56,ed85204953fc8d93d560d343f775f06ccf4a233ad20fb61852bca45b45040f48,FreeType/TrueType,FT_List_Up,,,0x25258c,0xd470,ida_named_non_elf,
